"type","hit_rate (%)","num_not_hit","num_hit","substructure","95% CI","new column"
,0,566,0,"[#7]1:[#7]:[#7]:[#6]:[#6]:1","0.0%-0.65%","[#7]1:[#7]:[#7]:[#6]:[#6]:1"
,0,0,0,"[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:1","2.5%-97.5%","[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:1"
,0,0,0,"[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1"
,0,0,0,"[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1"
,0,0,0,"[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1"
,0,0,0,"[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#7]:1","2.5%-97.5%","[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#7]:1"
,0,0,0,"[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#7]:1","2.5%-97.5%","[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#7]:1"
,0,0,0,"[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:[#6]:2:[#7]:1","2.5%-97.5%","[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:[#6]:2:[#7]:1"
,0,0,0,"[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#7]:[#6]:[#6]:2:[#7]:1","2.5%-97.5%","[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#7]:[#6]:[#6]:2:[#7]:1"
,0,11,0,"[#6]1:[#6]:[#7]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#7]:1","0.21%-26.46%","[#6]1:[#6]:[#7]:[#6]2:[#7]:[#6]:[#7]:[#6]:[#6]:2:[#7]:1"
,0,0,0,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:2:[#7]:1","2.5%-97.5%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:2:[#7]:1"
,0,10,0,"[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:2:[#6]:1","0.23%-28.49%","[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:2:[#6]:1"
,0,27,0,"[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:2:[#6]:1","0.09%-12.34%","[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:2:[#6]:1"
,0,0,0,"[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#7]:[#6]:2:[#6]:1"
,0,564,0,"[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#8]:[#6]:2:[#6]:1","0.0%-0.65%","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#8]:[#6]:2:[#6]:1"
,0,2,0,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#8]:[#6]:2:[#6]:1","0.84%-70.76%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#8]:[#6]:2:[#6]:1"
,0,95,0,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#8]:[#6]:2:[#7]:1","0.03%-3.77%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#8]:[#6]:2:[#7]:1"
,0,0,0,"[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#8]:[#6]:2:[#6]:1","2.5%-97.5%","[#7]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#8]:[#6]:2:[#6]:1"
,0,4,0,"[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#8]:[#6]:2:[#6]:1","0.51%-52.18%","[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#8]:[#6]:2:[#6]:1"
,0,0,0,"[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#8]:[#6]:2:[#6]:1","2.5%-97.5%","[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#8]:[#6]:2:[#6]:1"
