CpdID,type,SMILES,UMAP1,UMAP2,id,UMAP1-opt,UMAP2-opt,QED
NSC260594,R-BIND2,C[n+]1ccc(Nc2ccc(NC(=O)c3ccc(Nc4cc[n+](C)c5ccc([N+](=O)[O-])cc45)cc3)cc2)cc1,3.478130817,2.391266108,373,-5.6120915,17.252071,0.161179862
p-Terphenyl 6b,R-BIND2,COc1cc(CCN)c(-c2cc(C)c(-c3cc(CCN)c(O)c(CCN)c3)c(C)c2)c(CCN)c1,2.963066816,1.972170115,374,6.8933163,9.504071,0.288120537
Phenylquinolone 5,R-BIND2,Cn1c(-c2ccc(OCCCN3CCCCC3)c(N)c2)cc(=O)c2ccccc21,1.016331911,-1.111577988,375,11.950966,14.943269,0.508813488
Phenylquinolone 6,R-BIND2,CN1CCN(CCCOc2ccc(-c3cc(=O)c4ccccc4n3C)cc2N)CC1,0.913858593,-1.175444961,376,11.788767,14.004033,0.503803299
Guanine Analog 25f,R-BIND2,O=c1[nH]c(NC2CCCCC2)nc2[nH]cnc12,5.637396336,3.025781155,377,9.489527,-11.08163,0.731207323
Lysine Analog 8,R-BIND2,NCCS(=O)(=O)CC(N)C(=O)O,2.802551746,1.803392649,378,8.454791,-9.233721,0.456976922
Lysine Analog 9,R-BIND2,NCCOCC(N)C(=O)O,2.828779697,1.859788656,379,8.266883,-8.932978,0.406590195
Lysine Analog 11,R-BIND2,NC/C=C/CC(N)C(=O)O,2.911891222,1.870892286,380,8.170727,-9.461416,0.455151384
GQC-05,R-BIND2,Cc1c2cc[nH]cc2c(C)c2c1nc1ccc(OCCN(C)C)cc12,0.636262834,-0.53022939,381,17.875328,16.167421,0.600649686
EBAB,R-BIND2,N=C(N)c1ccc(NCCNc2ccc(C(=N)N)cc2)cc1,2.110999107,2.12887907,382,4.102692,-1.6571375,0.264575569
Pentamidine-Like Compound 2-5,R-BIND2,CC(=O)Nc1cccc(NC(=O)c2csc(NC(=O)c3ccc(Cl)cc3)n2)c1,3.952093363,1.253971815,383,12.407837,7.9680643,0.580264481
DB1246,R-BIND2,N=C(N)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=N)N)cn4)o3)o2)nc1,3.655189991,3.284518719,384,-0.57947505,14.193954,0.311616695
DB1247,R-BIND2,N=C(N)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=N)N)cn4)s3)s2)nc1,3.730230093,3.365305901,385,-0.7184063,14.986785,0.294086997
DB1273,R-BIND2,N=C(N)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=N)N)cn4)[se]3)[se]2)nc1,3.743024349,3.441981316,386,-0.7687987,14.429756,0.191248523
Myricetin,R-BIND2,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,6.583265305,1.43512404,387,18.93266,2.4645257,0.370750465
Anthrathiophenedione 2b,R-BIND2,NCCNc1c2c(c(NCCN)c3sccc13)C(=O)c1ccccc1C2=O,2.577065229,1.653749704,388,5.36808,8.4888735,0.382483518
Aminosulfonylarylisoxazole 4,R-BIND2,COc1ccc(-c2onc(C)c2C)cc1S(=O)(=O)N1CCc2ccccc2C1,14.46390152,8.110827446,390,8.579354,15.850703,0.669806744
PK4C9,R-BIND2,O=C(c1c[nH]c(C(=O)c2c[nH]c3cc(O)ccc23)n1)c1c[nH]c2ccccc12,5.463262081,2.042028666,391,-1.5831785,15.67453,0.362243113
Risdiplam,R-BIND2,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,2.231614351,-0.837774396,392,4.7138352,20.075619,0.553213826
SMN-C3,R-BIND2,CCN1CCN(c2cc(C)c3nc(-c4cc5c(C)nc(C)cn5n4)cc(=O)n3c2)CC1,2.338131189,-0.895743012,393,5.321777,20.174597,0.510054023
SMN-C5,R-BIND2,Cc1cn2cc(-c3cc(=O)n4cc(N5CCN(C)CC5)ccc4n3)cc(F)c2n1,2.177672386,-1.153414607,394,5.1661935,20.400742,0.523577301
Quindoline CK1-14,R-BIND2,c1ccc2c(NCc3cn(CCCN4CCCCC4)nn3)c3oc4ccccc4c3nc2c1,1.306075335,0.578646302,395,1.399277,19.329733,0.374377763
