CpdID,type,SMILES,UMAP1,UMAP2,id,UMAP1-opt,UMAP2-opt,QED
PyDH2,R-BIND2,C[n+]1ccc(C=NNC(=O)c2cccc(C(=O)NN=Cc3cc[n+](C)c4ccccc34)n2)c2ccccc21,3.484198809,2.432019949,425,-6.2328005,16.088848,0.211469391
PhenDH2,R-BIND2,C[n+]1ccc(C=NNC(=O)c2ccc3ccc4ccc(C(=O)NN=Cc5cc[n+](C)c6ccccc56)nc4c3n2)c2ccccc21,3.47578764,2.42083025,426,-7.0496864,16.558268,0.127697569
Pseudopalmatine,R-BIND2,COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c[n+]1CC2,1.183920741,-0.334142745,427,15.164498,14.441705,0.675154532
4a-10,R-BIND2,CSc1ccc(C=Cc2ccc3nc4c(oc5ccccc54)c(NCCN4CCCC4)c3c2)cc1,1.201928973,0.581023157,428,2.475844,20.143194,0.192919879
4a-16,R-BIND2,CSc1ccc(C=Cc2ccc3nc4c(oc5ccccc54)c(NCCN4CCN(C)CC4)c3c2)cc1,0.850534618,0.39423582,429,2.209488,19.979996,0.195285181
ThT-NE,R-BIND2,CCN(CC)c1ccc(-c2sc3cc(C)ccc3[n+]2C)cc1,0.543685853,1.109625816,430,22.888115,12.809355,0.641297778
Targaprimir-515/885,R-BIND2,CN1CCN(c2ccc3[nH]c(-c4ccc5[nH]c(-c6cc(C(C)(C)C)c(OCCCC(=O)NCCCN=[N+]=[N-])c(C(C)(C)C)c6)nc5c4)nc3c2)CC1,1.674504519,-0.954247534,431,-9.569386,3.2884185,0.051691094
CP2,R-BIND2,CS/C(=N\c1ccc(Cl)cc1)N1CC=Cc2ccccc21,0.682830691,1.207624435,432,24.142752,12.298829,0.529228723
CP6,R-BIND2,Fc1ccc2nncc(SCc3ccccc3)c2c1,4.219868183,2.760050535,433,24.563313,10.914676,0.671112145
CP13,R-BIND2,Cc1cc2ccccc2nc1-c1ccccc1F,4.194734573,2.692460299,434,26.37233,10.108654,0.612815808
BIX01294,R-BIND2,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,1.073644638,-1.451941133,435,6.942765,11.733117,0.535638006
ADQ,R-BIND2,O=[N+]([O-])c1ccc2c(c1)Nc1oc(-c3ccc(-c4oc5c(c4O)Nc4ccc([N+](=O)[O-])cc4N5)cc3)c(O)c1N2,4.714087486,-0.685078621,436,-9.103069,14.5461645,0.098336883
Compound 9,R-BIND2,Nc1cc2c(=O)c(C(=O)O)cn(Cc3ccccn3)c2nc1N1CCN(c2nc3ccccc3s2)CC1,1.923854947,-2.357188702,437,-7.7414694,15.01323,0.364019002
Compound 10,R-BIND2,Nc1cc2c(=O)c(C(=O)O)cn(CCc3ccccn3)c2nc1N1CCN(c2nc3ccccc3s2)CC1,1.931452513,-2.35323,438,-8.203656,15.463982,0.341625052
Compound 11,R-BIND2,Nc1cc2c(=O)c(C(=O)O)cn(CCN3CCN(c4ccccn4)CC3)c2nc1N1CCN(c2nc3ccccc3s2)CC1,1.875073791,-2.343656063,439,-9.076111,15.133682,0.28112323
Compound 12,R-BIND2,Nc1cc2c(=O)c(C(=O)O)cn(CCCN3CCN(c4ccccn4)CC3)c2nc1N1CCN(c2nc3ccccc3s2)CC1,1.91956532,-2.371845245,440,-8.843797,14.8412075,0.263030777
Compound 4d,R-BIND2,CN1CCN(CCCNc2nc3cc([N+](=O)[O-])ccc3nc2NCc2ccc(NC(=O)C=Cc3ccc(N(C)C)cc3)cc2)CC1,1.687806249,-0.999062061,441,-8.96966,2.163768,0.081645842
Compound 3b,R-BIND2,CN(C)CCCNc1nc2cc([N+](=O)[O-])ccc2nc1NCCCN1CCN(C)CC1,1.58770299,-0.810650706,442,3.61051,2.747817,0.314459318
Compound 4a,R-BIND2,CN(C)CCCNc1nc2cc([N+](=O)[O-])ccc2nc1NCc1ccc(NC(=O)CCCC[C@H]2SCC3NC(=O)NC32)cc1,1.570941806,-0.832072318,443,-8.404262,1.1868382,0.071911929
Compound 4c,R-BIND2,CN1CCN(CCCNc2nc3cc([N+](=O)[O-])ccc3nc2NCc2ccc(NC(=O)CCCCC3SCC4NC(=O)NC43)cc2)CC1,1.64467454,-0.914157391,444,-8.609002,0.8942441,0.068581261
bPGN,R-BIND2,CCCC[C@H]1CCCCCC=c2[nH]c(=Cc3[nH]cc(-c4ccc[nH]4)c3OC)cc21,5.430718899,2.106839895,445,17.172064,17.554472,0.531782726
Obatoclax,R-BIND2,C=c1cc(C)c(=Cc2[nH]cc(-c3cc4ccccc4[nH]3)c2OC)[nH]1,5.349431515,2.221335173,446,21.444254,12.1432295,0.534316339
Prodigiosin,R-BIND2,C=c1[nH]c(=Cc2[nH]cc(-c3ccc[nH]3)c2OC)cc1CCCCC,5.358919621,2.179002762,447,18.673756,11.2062845,0.574059234
BRX1555,R-BIND2,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CCCc3ccccc3)c2cc1C,3.11476779,-1.464629889,448,8.08491,14.449173,0.567594266
RG7800,R-BIND2,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,2.252189875,-1.024033427,449,5.7287097,19.977972,0.512103406
Compound 8,R-BIND2,O=C(Nc1ccc(C2=NCCN2)cc1)c1cc(C(=O)Nc2ccc(C3=NCCN3)cc2)cc(C(=O)Nc2ccc(C3=NCCN3)cc2)c1,2.457666159,1.799193382,450,-9.460323,14.069203,0.164462314
Compound 10,R-BIND2,O=C(Nc1cccc(C2=NCCN2)c1)c1ccc(-c2ccc(C(=O)Nc3cccc(C4=NCCN4)c3)cc2)cc1,2.497808456,1.825460196,451,-4.967417,17.731077,0.282189261
Linifanib,R-BIND2,CC=C(c1ccc(NC(=O)Nc2cc(C)ccc2F)cc1)C1CN=NC1=N,3.502981424,1.612281084,452,15.53226,5.245357,0.67927452
